Wavelength (nm),n,k
300,2.154767,0.175205
306,2.154957,0.170582
312,2.156191,0.16472
318,2.158446,0.157429
324,2.161059,0.148498
330,2.164305,0.137522
336,2.16854,0.123829
342,2.173999,0.106109
348,2.180379,0.080004
354,2.176267,0.032426
360,2.130061,0.013885
366,2.104747,0.005007
372,2.082114,0.002554
378,2.064198,0.001905
384,2.049153,0.001597
390,2.036118,0.001388
396,2.024186,0.001233
402,2.013311,0.001115
408,2.003213,0.001027
414,1.99378,0.000963
420,1.984927,0.000917
426,1.976836,0.000886
432,1.968582,0.000869
438,1.960902,0.000861
444,1.953677,0.000863
450,1.946614,0.000872
456,1.939919,0.000887
462,1.933477,0.000908
468,1.927221,0.000935
474,1.92109,0.000966
480,1.915183,0.001001
486,1.909528,0.001039
492,1.903913,0.001082
498,1.898509,0.001128
504,1.89322,0.001177
510,1.888204,0.001229
516,1.883039,0.001285
522,1.877989,0.001344
528,1.873085,0.001405
534,1.868294,0.00147
540,1.863618,0.001538
546,1.858897,0.001609
552,1.854369,0.001683
558,1.849868,0.00176
564,1.84549,0.00184
570,1.841161,0.001923
576,1.836692,0.00201
582,1.832416,0.0021
588,1.828162,0.002193
594,1.823926,0.00229
600,1.81984,0.00239
606,1.815705,0.002494
612,1.811541,0.002602
618,1.80752,0.002713
624,1.803508,0.002828
630,1.799486,0.002947
636,1.795716,0.00307
642,1.791746,0.003197
648,1.787539,0.003329
654,1.783507,0.003464
660,1.779507,0.003605
666,1.77555,0.003749
672,1.771562,0.003898
678,1.767704,0.004052
684,1.763782,0.004211
690,1.759827,0.004375
696,1.755873,0.004543
702,1.751997,0.004717
708,1.748091,0.004896
714,1.744186,0.005081
720,1.740285,0.005271
726,1.736478,0.005466
732,1.732595,0.005668
738,1.728632,0.005875
744,1.724596,0.006089
750,1.720704,0.006308
756,1.716763,0.006534
762,1.712823,0.006767
768,1.708856,0.007006
774,1.704878,0.007252
780,1.700987,0.007504
786,1.697012,0.007764
792,1.693021,0.008031
798,1.688978,0.008306
804,1.684912,0.008588
810,1.680934,0.008878
816,1.676888,0.009175
822,1.672838,0.009481
828,1.66878,0.009795
834,1.664654,0.010117
840,1.660625,0.010448
846,1.656592,0.010787
852,1.652492,0.011135
858,1.648286,0.011493
864,1.644022,0.011861
870,1.639697,0.012239
876,1.635471,0.012626
882,1.631233,0.013022
888,1.626933,0.01343
894,1.622635,0.013847
900,1.618321,0.014275
1200,1.4,0.035
