Wavelength (nm),n,k
210,1.53835762,0
217.4,1.530846431,0
225.1,1.524078907,0
233,1.518041768,0
241.2,1.512572116,0
249.7,1.507609587,0
258.5,1.503100963,0
267.6,1.498999219,0
277,1.495262719,0
286.8,1.491821503,0
296.9,1.488683281,0
307.4,1.485791437,0
318.2,1.483150433,0
329.4,1.480714442,0
341,1.478467652,0
353,1.47639513,0
365.5,1.474468282,0
378.3,1.47270468,0
391.7,1.471052512,0
405.5,1.46952865,0
419.7,1.468121822,0
434.5,1.46680482,0
449.8,1.46558083,0
465.7,1.464436031,0
482.1,1.463371935,0
499.1,1.462376439,0
516.7,1.461444991,0
534.9,1.460573079,0
553.7,1.459756285,0
573.2,1.458986561,0
593.4,1.458260788,0
614.3,1.457575807,0
636,1.456925601,0
658.4,1.456310408,0
681.6,1.455724699,0
705.6,1.45516603,0
730.5,1.454629875,0
756.2,1.454116165,0
782.9,1.453618854,0
810.4,1.45313961,0
839,1.452671274,0
868.6,1.452213821,0
899.2,1.451765383,0
930.8,1.451324079,0
963.6,1.450885397,0
997.6,1.450447736,0
1033,1.450006962,0
1069,1.44957109,0
1107,1.449121462,0
1146,1.448668311,0
1186,1.448209659,0
1228,1.447732246,0
1271,1.447245577,0
1316,1.446736352,0
1362,1.446213852,0
1410,1.445664578,0
1460,1.445086147,0
1512,1.444475988,0
1565,1.443843402,0
1620,1.443173929,0
1677,1.442464576,0
1736,1.441712173,0
1797,1.440913367,0
1861,1.440050939,0
1926,1.439148066,0
1994,1.438172943,0
2064,1.43713496,0
2137,1.436013962,0
2212,1.434819618,0
2290,1.433529881,0
2371,1.432137211,0
2454,1.430651699,0
2541,1.429028728,0
2630,1.427296094,0
2723,1.425404433,0
2819,1.423361368,0
2918,1.421154416,0
3021,1.418745952,0
3128,1.416117293,0
3238,1.413274157,0
3352,1.410169683,0
3470,1.406778215,0
3592,1.403070896,0
3719,1.398982,0
3850,1.394503572,0
3986,1.389555342,0
4126,1.384120806,0
4271,1.378099774,0
4422,1.371370131,0
4578,1.363881434,0
4739,1.355526219,0
4906,1.346117123,0
5079,1.335482357,0
5258,1.323410544,0
5443,1.3096384,0
5635,1.293746028,0
5833,1.275372396,0
6039,1.253728956,0
6252,1.228088835,0
6472,1.197325672,0
6700,1.159649414,0
