Wavelength (nm),n,k
251.57,2.31717213,0.577801613
253.16,2.33168536,0.569701795
254.75,2.34626565,0.560078808
256.34,2.36067795,0.548891345
257.93,2.37467908,0.536140733
259.52,2.38802531,0.521875087
261.12,2.40048438,0.506187696
262.71,2.41184546,0.489213773
264.3,2.42192779,0.471124947
265.89,2.43058781,0.45212117
267.48,2.43772396,0.432420532
269.07,2.44327819,0.412249024
270.67,2.44723468,0.391831658
272.26,2.4496167,0.371382518
273.85,2.4504812,0.351098957
275.44,2.44991257,0.331155243
277.03,2.44801587,0.311700698
278.62,2.4449101,0.292857499
280.22,2.44072204,0.274721021
281.81,2.43558114,0.257362168
283.4,2.42961505,0.240828823
284.99,2.42294624,0.225148714
286.58,2.41568999,0.210333132
288.18,2.40795253,0.196379165
289.77,2.3998302,0.18327257
291.36,2.39140949,0.170990928
292.95,2.38276689,0.159505232
294.54,2.37396931,0.148782004
296.14,2.3650748,0.138784873
297.73,2.35613305,0.129475706
299.32,2.34718664,0.120816056
300.91,2.33827137,0.11276749
302.5,2.32941721,0.105292332
304.09,2.32064883,0.09835399
305.69,2.31198686,0.091917673
307.28,2.30344754,0.085949858
308.87,2.29504418,0.080419113
310.46,2.28678728,0.075295824
312.05,2.27868456,0.070551991
313.65,2.27074208,0.066161671
315.24,2.26296411,0.062100598
316.83,2.25535349,0.058346198
318.42,2.24791192,0.054877501
320.01,2.24064001,0.051675005
321.61,2.23353796,0.048720778
323.2,2.22660502,0.045998066
324.79,2.21984006,0.043491409
326.38,2.21324163,0.041186494
327.97,2.20680801,0.039070076
329.57,2.20053745,0.037129922
331.16,2.19442784,0.035354624
332.75,2.18847739,0.0337337
334.34,2.18268445,0.032257432
335.93,2.17704736,0.030916746
337.52,2.17156519,0.029703307
339.12,2.16623741,0.028609316
340.71,2.16106461,0.027627539
342.3,2.1560493,0.026751236
343.89,2.15119877,0.025974095
345.48,2.14653759,0.025274872
347.08,2.14204552,0.024600679
348.67,2.13769101,0.023947157
350.26,2.13345877,0.023313787
351.85,2.12933779,0.022699992
353.44,2.12531947,0.022105197
355.04,2.12139667,0.021528824
356.63,2.1175633,0.020970304
358.22,2.11381409,0.020429087
359.81,2.11014433,0.019904624
361.4,2.10654969,0.019396366
362.99,2.10302647,0.018903807
364.59,2.09957119,0.018426442
366.18,2.09618057,0.017963764
367.77,2.09285183,0.017515319
369.36,2.08958211,0.017080624
370.95,2.08636899,0.016659245
372.54,2.08321014,0.016250748
374.14,2.08010332,0.015854708
375.73,2.07704647,0.015470719
377.32,2.07403771,0.015098394
378.91,2.07107518,0.01473735
380.5,2.06815721,0.014387224
382.1,2.06528218,0.014047661
383.69,2.06244853,0.013718316
385.28,2.05965483,0.01339886
386.87,2.05689966,0.013088971
388.46,2.05418175,0.012788345
390.05,2.05149982,0.012496678
391.64,2.0488527,0.012213687
393.24,2.04623925,0.011939094
394.83,2.04365836,0.011672627
396.42,2.04110902,0.011414029
398.01,2.03859023,0.011163052
399.6,2.03610099,0.010919449
401.19,2.03364043,0.01068299
402.79,2.03120768,0.01045345
404.38,2.02880188,0.010230612
405.97,2.02642218,0.01001426
407.56,2.02406784,0.009804197
409.15,2.02173811,0.009600226
410.74,2.01943226,0.009402158
412.33,2.01714956,0.009209805
413.93,2.01488934,0.009022994
415.52,2.01265101,0.008841557
417.11,2.01043395,0.008665331
418.7,2.00823747,0.00849415
420.29,2.00606101,0.008327862
421.88,2.00390405,0.008166321
423.47,2.00176598,0.008009381
425.06,1.99964634,0.007856908
426.65,1.99754454,0.007708761
428.25,1.9954601,0.007564813
429.84,1.99339266,0.007424946
431.43,1.99134156,0.007289028
433.02,1.98930647,0.007156948
434.61,1.98728696,0.007028595
436.2,1.98528254,0.006903855
437.79,1.98329279,0.006782622
439.38,1.98131737,0.006664798
440.97,1.9793559,0.006550285
