Wavelength (nm),n,k
250,2.33851,0.57355
260,2.35447,0.50038
270,2.36184,0.42895
280,2.36103,0.36014
290,2.3525,0.29479
300,2.3368,0.23372
310,2.31452,0.17778
320,2.28635,0.12782
330,2.25314,0.08472
340,2.21593,0.04943
350,2.17614,0.02298
360,2.13584,0.00646
370,2.0989,0.00101
370.3858,2.09768,0.00101
371.96622,2.0929,0.00102
373.54666,2.08836,0.00104
375.12717,2.08404,0.00105
376.70773,2.07989,0.00107
378.2884,2.07591,0.00109
379.86908,2.07206,0.0011
380,2.07174,0.0011
381.4498,2.06834,0.00112
383.03058,2.06474,0.00113
384.61145,2.06125,0.00115
386.19235,2.05787,0.00117
387.77332,2.05458,0.00118
389.3543,2.05138,0.0012
390,2.0501,0.0012
390.93536,2.04826,0.00121
392.51648,2.04523,0.00123
394.09763,2.04227,0.00125
395.67886,2.03938,0.00126
397.2601,2.03656,0.00128
398.84143,2.03381,0.0013
400,2.03183,0.00131
400.4228,2.03112,0.00132
402.00418,2.02849,0.00133
403.58563,2.02591,0.00135
405.1671,2.0234,0.00137
406.74866,2.02093,0.00138
408.33023,2.01851,0.0014
409.91187,2.01614,0.00142
410,2.01601,0.00142
411.4935,2.01382,0.00144
413.07526,2.01155,0.00146
414.65698,2.00932,0.00148
416.23877,2.00712,0.00149
417.82062,2.00497,0.00151
419.4025,2.00286,0.00153
420,2.00207,0.00154
420.98438,2.00079,0.00155
422.56635,1.99875,0.00157
424.14835,1.99675,0.00159
425.73038,1.99478,0.00161
427.3124,1.99285,0.00163
428.89453,1.99094,0.00165
430,1.98963,0.00166
430.47665,1.98907,0.00167
432.05878,1.98723,0.00169
433.64102,1.98542,0.00171
435.22324,1.98363,0.00173
436.8055,1.98188,0.00175
438.3878,1.98015,0.00177
439.97012,1.97845,0.00179
440,1.97841,0.00179
441.5525,1.97677,0.00181
443.13486,1.97512,0.00183
444.7173,1.97349,0.00185
446.2997,1.97188,0.00187
447.88217,1.9703,0.0019
449.4647,1.96874,0.00192
450,1.96822,0.00192
451.0472,1.9672,0.00194
452.6298,1.96568,0.00196
454.21234,1.96419,0.00198
455.79492,1.96271,0.002
457.3776,1.96125,0.00203
458.9602,1.95981,0.00205
460,1.95888,0.00206
460.54288,1.95839,0.00207
462.12558,1.95699,0.0021
463.7083,1.95561,0.00212
465.29102,1.95424,0.00214
466.87378,1.95289,0.00216
468.45654,1.95156,0.00219
470,1.95028,0.00221
470.03937,1.95025,0.00221
471.62213,1.94894,0.00224
473.205,1.94766,0.00226
474.78778,1.94639,0.00228
476.37067,1.94513,0.00231
477.95352,1.94389,0.00233
479.53644,1.94267,0.00236
480,1.94231,0.00236
481.11932,1.94145,0.00238
482.70224,1.94025,0.00241
484.28516,1.93907,0.00243
485.8681,1.9379,0.00246
487.45102,1.93673,0.00248
489.034,1.93559,0.00251
490,1.93489,0.00252
490.617,1.93445,0.00253
492.19995,1.93333,0.00256
493.78296,1.93222,0.00259
495.3659,1.93111,0.00261
496.9489,1.93003,0.00264
498.53192,1.92895,0.00266
500,1.92796,0.00269
500.11493,1.92788,0.00269
501.698,1.92682,0.00272
503.281,1.92578,0.00275
504.86407,1.92474,0.00277
506.44708,1.92371,0.0028
508.03012,1.9227,0.00283
509.61313,1.92169,0.00286
510,1.92144,0.00286
511.1962,1.92069,0.00288
512.7792,1.9197,0.00291
514.36224,1.91872,0.00294
515.9453,1.91775,0.00297
517.5283,1.91679,0.003
519.1114,1.91584,0.00303
520,1.9153,0.00304
520.6944,1.91489,0.00306
522.27747,1.91395,0.00309
523.8605,1.91302,0.00312
525.4435,1.9121,0.00314
527.0265,1.91119,0.00317
528.6095,1.91029,0.0032
530,1.9095,0.00323
530.1925,1.90939,0.00324
531.7755,1.9085,0.00327
533.3585,1.90761,0.0033
534.94147,1.90674,0.00333
536.5245,1.90587,0.00336
538.1074,1.90501,0.00339
539.69037,1.90415,0.00342
540,1.90398,0.00343
541.2733,1.9033,0.00345
542.85626,1.90246,0.00348
544.43915,1.90162,0.00351
546.0221,1.90079,0.00355
547.6049,1.89997,0.00358
549.1878,1.89915,0.00361
550,1.89874,0.00363
550.7706,1.89834,0.00364
552.3535,1.89754,0.00368
553.93634,1.89674,0.00371
555.51917,1.89594,0.00374
557.1019,1.89515,0.00378
558.6847,1.89437,0.00381
560,1.89372,0.00384
